region,rainfall_mm,temperature_c,humidity_pct,river_level_m,snow_melt_mm,prev_day_rain,risk_level,risk_label
Aktau,104.19613284427042,6.33249223306964,65.19874861402029,4.799173958371936,27.29617666545,35.69194051657356,2,High
Taraz,10.142040921681833,34.79662208169157,89.32383853992695,3.0323697649942596,46.310260094217256,53.7328184798319,2,High
Taldykorgan,71.67336987065167,10.085855803893896,65.7447330885723,7.913912359965851,43.565762362342674,26.712197722124316,3,Critical
Shymkent,118.35083950401781,5.010629726249018,92.57598572484979,0.6892800938619815,39.25418286198785,20.34073287911444,2,High
Petropavl,64.3908775184799,16.121375302250357,95.4387053452834,2.3948452296596496,13.68492288391855,50.48395146161765,2,High
Almaty,110.88501109289197,-6.005467265150419,53.79076177474447,4.400555458333628,45.59093143430458,1.998726582547956,3,Critical
Karaganda,28.333983974088518,33.27495811796659,50.18509291250589,4.4146475260892295,4.875384623193763,57.65800896213431,1,Medium
Astana,91.19464907251027,18.573202051596493,94.90569231753254,4.916998062091731,42.66646082793939,41.12186959012078,3,Critical
Taraz,63.75189047682409,23.967701897338152,74.01120489197345,6.137571290171895,16.40800361768039,48.46029844167475,3,Critical
Karaganda,86.46192736697579,-2.3284927821737105,29.281814507853543,5.176083728894723,2.6886155830991685,50.55041273975081,2,High
Astana,7.480963501348974,8.426503385234174,23.383339937814497,5.002110953960277,33.467849212037414,42.1640125194051,2,High
Petropavl,17.728691028747203,9.02101010282853,65.17032407978105,0.9013584718478247,11.563996415797773,46.60270219525888,0,Low
Pavlodar,15.97403143049739,26.981289975548904,94.41367723507396,3.3239771584197375,12.178556293231596,54.70305607118996,1,Medium
Pavlodar,82.45986064839973,-9.944349410826575,87.53989619246548,2.24041804775867,15.302358311438574,60.24950777437393,2,High
Atyrau,101.33288071603545,3.5383898758964776,74.06781971714692,2.4902758370148157,3.1842383751258363,58.19619130288964,1,Medium
Karaganda,89.95394784103048,34.155636845493675,31.129267911287002,4.657531057552586,8.856357209912701,69.56931661858094,2,High
Pavlodar,3.656658328031299,11.36989445777984,40.33851069989565,1.9962898619720633,0.2569813792780151,15.15547465339222,0,Low
Aktau,104.0657977289668,7.213682610980371,90.04089812420929,2.7046182576267315,22.27047605528934,32.0918375593438,2,High
Taldykorgan,42.49760049517506,-4.6076949092059145,34.62457893255204,2.2781353138800506,4.212768870898564,75.82368528115657,1,Medium
Astana,47.6596599004899,33.8374082882607,42.27515266003476,7.6137720741364605,34.13263025220995,31.72724595090638,3,Critical
Atyrau,12.584299983897708,-9.098813983337898,30.368052095635356,7.5849929912832135,11.781142559582419,9.989606152473813,1,Medium
Kyzylorda,88.4886247312583,23.17311012532594,74.0886585131529,5.0745616894703875,47.178707201758854,42.03561010897437,3,Critical
Astana,21.874065417114966,24.586991215482882,95.51858442905677,7.43391851548925,43.56258136993263,8.759277804356973,3,Critical
Atyrau,67.67581104226036,0.9645522228739978,41.51744252763088,6.393594841012798,14.472044748410411,16.228259098229216,2,High
Petropavl,100.88519830535174,20.22012996258668,58.0325286280059,4.924609121013566,39.160772732833934,79.86550052567654,3,Critical
Karaganda,10.704519445446742,-5.818188502927454,70.74717917689634,0.5482640862259678,40.16224523324031,43.309011071690556,1,Medium
Petropavl,64.24026768186282,1.5671269894435937,99.95729985725046,6.293872145595531,49.32815570572052,22.724671123234323,3,Critical
Taldykorgan,27.985969385976148,25.455589473151925,28.384645199805767,5.768662561913517,29.891999342284247,79.58199636591249,2,High
Taldykorgan,41.15122371339123,28.910878641509314,59.88566396045673,5.114402399618105,4.09828673218311,77.32471348441146,2,High
Taraz,56.87639297166674,17.38188856969061,50.809609592200005,6.2031823376185375,32.34186144631905,35.25912328674109,3,Critical
Petropavl,42.61251639351657,12.807729431921718,89.26561321778841,4.346916235810743,31.24898741880176,20.832248703032672,3,Critical
Semey,77.85874083498912,-2.8313190721458863,58.07741848093247,5.780624534910043,31.917528871021588,67.0719710473752,3,Critical
Kyzylorda,57.549852210510025,-7.160093511438243,28.878201966811847,7.5137906504486995,15.357282405210576,57.24965735774286,3,Critical
Oskemen,70.10393816570031,-4.705793718689862,70.7539316229267,3.3185376188456472,42.983979254016646,54.95531480028083,3,Critical
Petropavl,88.41869704738954,0.23107850432444543,81.66244946111038,5.810913761754691,47.973609147770595,71.4490993057978,3,Critical
Taraz,66.92907191405249,5.375352585361437,20.230500133249166,4.06765863508219,10.885625648907576,55.15337070970597,2,High
Aktobe,70.3842521592911,7.140928647994425,88.71653483365036,5.5579973886048615,4.407607906832222,22.703835443323932,2,High
Aktau,67.73502510271695,5.584479586505159,34.88184000045325,6.2217000166577305,9.726751658424204,55.50905295005858,3,Critical
Astana,45.45271511415472,0.7574899488769518,64.16554917227023,0.8408937532684697,41.02760696278594,24.465080902693117,1,Medium
Taldykorgan,40.49362006463017,12.937591103826417,53.26380005499601,5.349503329614964,33.83223174099238,60.7391183725596,3,Critical
Aktobe,107.95768765740148,27.13787487048036,77.57230532884243,2.2005588830520844,31.802367116956333,49.579828359325276,2,High
Taraz,72.90662667522874,2.586659231216565,49.692929182859345,5.525244033556751,20.089656755471225,6.1929241587800465,2,High
Atyrau,29.32237865575854,32.40741585960049,89.58105413453686,4.012476394503601,28.891398575571785,41.02682899481137,2,High
Oskemen,59.78972374187282,29.300149777573154,78.43970887670322,6.301645563986654,15.393706263718371,27.464077535659275,2,High
Kyzylorda,39.64181775370968,-2.7206104891550673,71.81705368503373,1.4255061140419731,23.860003970898063,26.28565061858354,1,Medium
Kyzylorda,112.04301885118495,25.382418054069255,83.69924764502835,5.197417637421463,39.653151418532794,48.18050419018058,3,Critical
Kyzylorda,0.9041235760889688,15.856432204299498,80.32184279427058,2.5885304669566422,49.062079872773104,25.78598595755399,1,Medium
Aktau,27.039935725503387,15.495891297713836,22.875093993724267,6.897364964979436,46.62444617949009,62.15149985638981,3,Critical
Oskemen,43.842818360886916,7.59692433761785,51.57874830758625,7.4628762922723055,46.69329714231244,5.663314880893955,3,Critical
Aktau,58.53717609704855,12.551884963190439,94.46458378531918,7.972987202592916,20.11118674235562,52.83106019166603,3,Critical
Taldykorgan,102.09810214033755,7.873044984314497,30.057941519378097,6.470055518204624,23.439494025339545,64.7355842925393,3,Critical
Aktau,10.546514944817265,14.287967844197428,78.9677240345641,6.153005528210034,35.28176981844908,53.826535193634406,2,High
Almaty,96.7037864089372,18.25775237476861,97.96734490682637,2.116255691506633,46.109596402564215,39.77833560159966,2,High
Oskemen,6.678418722837041,20.34367128840718,24.17589032359773,3.0200529424258153,7.0997129676042325,76.0245610988945,0,Low
Semey,101.07768423578179,13.961653665174179,74.57551045012883,3.9926190632170964,15.212093191359788,23.995079183845085,2,High
Oskemen,6.19625734494154,22.463993029792924,57.452331304082435,6.300357858366873,6.962342229705476,1.5334310019982222,1,Medium
Taraz,2.1890977714033255,-3.642487782602239,66.33402042997777,7.3622439880847645,30.600426497972766,34.55914971707527,2,High
Almaty,83.63537548397059,-0.46078790939926684,26.82730691874599,1.9185432501723847,15.315049844376876,2.64095487202618,1,Medium
Kyzylorda,119.67066417220732,26.843075183342158,23.44055614935516,7.417756135025772,16.305392625628674,76.3149402021127,3,Critical
Taraz,107.5932315568825,4.513759003088683,73.34933284407373,5.717184892655435,3.545797974398962,16.793443659844122,2,High
Taraz,69.11981013667919,-8.96977787607459,85.86475438565743,5.08078048013779,17.489803090379596,63.11416191591036,3,Critical
Taldykorgan,110.0874735702638,-3.079398264938601,82.56122679463738,1.9988095346145465,43.124825370079265,61.96576665394919,2,High
Kostanay,0.63600076771265,0.06264955233400649,63.50445822929899,0.9164377460686292,11.653640594541748,17.418311974634683,0,Low
Shymkent,117.0080595534171,33.079529955256426,27.989345690894254,4.763486738809549,34.759373310503285,49.698122438413385,3,Critical
Almaty,58.889853511054135,15.786864301888219,75.0435555068811,5.386367624966693,31.48141724692963,3.846317478916017,2,High
Taraz,86.74753159461308,31.972883321431468,39.35111068433167,2.0808608701601616,43.174230418455764,38.6859668563094,2,High
Shymkent,98.50337677840231,15.882350772348122,92.8854962213907,4.673421543690923,6.614397382551912,1.171770181798939,2,High
Shymkent,86.21487250038643,11.57094980620333,87.06122876365639,6.923700520719302,48.87949801725216,73.69151041446734,3,Critical
Almaty,64.20440784538927,4.117746103734323,76.75063736699127,6.76299459091265,29.13143230201828,78.08688193596574,3,Critical
Kostanay,57.194338095169435,17.2866924995019,95.90767646649043,7.455163854397229,49.77370761734072,17.782621331086823,3,Critical
Aktobe,100.62990704431498,-3.736088892211157,22.513745720901834,3.244143571676603,45.57573629329254,16.648482767709822,2,High
Atyrau,24.609307217935093,30.421773228171766,78.89603400486095,2.88537179413189,11.07586360565529,60.29761412497037,1,Medium
Semey,116.15928798050811,27.319958231357766,46.41942234691243,6.120695044856065,2.808100495165655,20.270351906346757,2,High
Atyrau,85.31429746040979,4.288915154453166,92.48527085490922,3.733343038227537,12.781954689768076,71.6061247329476,2,High
Oskemen,23.94083128059837,32.875888742058244,41.33401573295821,1.1566149802083545,26.378182449970993,45.91433088983858,1,Medium
Kyzylorda,88.34966204381858,27.134034533700564,77.98851994520136,2.621008480028748,8.5798183532595,28.06220984082497,1,Medium
Semey,63.580802781734,19.983809862576788,90.21176157206251,3.6393671414861686,8.372987225899426,66.6154997079536,2,High
Oskemen,84.86761147733334,-4.520713999362634,23.332545470614594,2.69387319107189,23.129677355257655,39.47253603307161,2,High
Taraz,92.13354017314066,11.520531037163252,51.81180636736289,2.991541782104912,1.6633985584679212,72.93063309667804,2,High
Kyzylorda,10.474821550761053,12.774839968103787,80.98472256175509,2.7033192963079307,6.094404126613523,74.24113893835047,0,Low
Astana,60.732474763121644,0.464811126442104,56.39351116060696,0.8112437538730959,20.793066970397376,13.233612170272746,1,Medium
Almaty,111.8417210708321,-6.401557253831412,41.38021038348762,5.278210256183319,3.156495460398323,0.1858724905544218,2,High
Semey,38.47706305914171,24.95256337122617,37.5844279058552,4.97969315265102,19.837752822776466,78.71447521139218,2,High
Semey,71.26597170694785,-4.5084226544022235,30.521461353310233,5.400376238590105,23.700313297422255,72.49100289019835,3,Critical
Petropavl,44.30765778118754,16.743083775279864,88.57036478850259,1.942324220252206,22.56333070365572,4.435618856307313,1,Medium
Taraz,54.51215666629196,32.140212824764724,66.02843226012448,2.7174090620936395,43.45874287015437,66.64274111528559,2,High
Aktobe,65.83237415257838,29.424733666911912,26.11079559931648,5.147119452086917,26.503122752586624,36.62439460473653,2,High
Shymkent,65.87063758667728,2.4988680687167513,50.606425885650836,4.997206763449411,23.399023123902168,20.716928401998018,2,High
Kyzylorda,24.2076554796283,28.315188689806938,49.41869206440879,4.297477320157009,20.53546226958331,70.29972189415439,2,High
Taraz,82.14858574558,-9.985037224577976,34.539135256757035,3.1280993750764807,40.88116891522431,15.73337859122458,2,High
Pavlodar,10.544173349118818,-9.204048567403426,54.84061003777526,7.346982535810175,44.75283019999166,75.78399995360536,2,High
Kostanay,16.658972813042446,17.11489237292892,46.56794923145092,3.0482768172413284,42.66212345985588,16.449719015947288,1,Medium
Shymkent,0.32530792971956046,6.415919861503827,47.3442964393746,3.917143673279387,33.67732890656954,49.094655018299484,1,Medium
Almaty,14.003527697001758,7.390737852161621,79.1221246230367,5.585853732156566,6.868087298433712,17.84690676231799,0,Low
Shymkent,56.779944126227065,15.39984908054971,37.86107084041571,4.572660731500731,13.843498474600613,43.65349319749078,2,High
Aktobe,72.73222572670063,-1.3697894983662735,71.34879670842844,3.101644822732892,2.3031531840988717,54.7180103932113,2,High
Taldykorgan,95.31473399597549,-0.47100922005347456,65.65196991047479,3.7673359284238237,46.541203749505705,15.218234465611005,2,High
Petropavl,12.803910013612327,11.80707141584891,65.44740098702938,6.458606133901296,33.03992648454552,41.670862616054336,2,High
Shymkent,102.08729520197457,23.941409495473835,73.04058769134207,2.585968666149593,37.31814421566207,37.52477955120952,2,High
Almaty,89.51694306584618,17.877398813341443,63.87056289565231,1.5669142983261157,15.578586979111448,5.682993712267299,1,Medium
Aktobe,49.022195152310026,3.3809771706577507,90.34040918771078,2.848724013723328,42.28267611386712,65.46462541402423,3,Critical
Atyrau,111.95256805199456,9.365172987901452,74.04640735602078,6.87150661615926,12.980164185423925,26.85459205142734,2,High
Semey,118.91153717488687,-2.3200858652500713,63.75706010971105,1.1674228614225999,0.08218785562248421,45.96657580415037,1,Medium
Taldykorgan,24.60021720638847,-6.641658354831323,86.38104962301159,7.937720550293388,18.820748126034697,41.18273879465075,3,Critical
Petropavl,45.50743019565605,25.221321833486712,68.49172519467838,4.557521741957469,28.53807404795367,41.06084036563538,2,High
Semey,111.17393083076534,1.9424334134687573,43.29153982281432,7.886343079753205,23.935242898276126,8.577791536678996,3,Critical
Kostanay,86.59158609015326,-2.0005125466938303,36.5675934541257,7.542473165644831,43.10380712882985,33.87856073994662,3,Critical
Oskemen,5.771357275690523,21.122812500619368,32.1862228530143,3.8961028565818756,5.270264297808347,36.189340736525615,0,Low
Taldykorgan,93.78173781016979,17.81232534292337,91.95641700368813,1.9886830595401181,27.69117203168628,58.69142722915588,2,High
Taldykorgan,99.35290646129903,18.493533170605883,76.81083454384526,1.7366358242385385,25.648967491045372,67.20150655365588,2,High
Atyrau,90.06023097183763,0.3002572180976131,94.99027505314567,2.299920229024681,14.06964910860815,43.598582248001435,2,High
Atyrau,95.94445571034187,0.4690492353206448,68.26334445719544,5.825994804234029,41.11140562885053,6.9426363251992385,3,Critical
Kyzylorda,99.01592120313566,-0.06388165964623838,57.872070519593,2.5471249604861588,37.64243279411031,18.9479576477237,2,High
Aktau,22.368598414577292,-2.1811331951967468,24.777319117671148,3.0606895220322374,36.64295936659155,13.194722148218485,1,Medium
Shymkent,28.283009527799972,19.507565265274533,73.73138252368238,3.865841029959611,43.8096239134778,9.96920505512998,1,Medium
Taldykorgan,76.05102764642128,28.160714836223065,66.5767007814585,7.349245103160922,36.13923003107606,29.271943889424605,3,Critical
Semey,108.94393565550192,22.594286135449757,99.21671148700972,1.9204506341363456,11.592064585736322,18.351480172350563,1,Medium
Almaty,37.943589875579356,25.644213519224444,39.13270222257944,0.5376991445735233,35.27813558248455,17.464248944920982,1,Medium
Karaganda,70.5968010954068,8.215929308833992,62.45898842294687,0.9507230778362761,15.385140669492191,4.3754539661014125,1,Medium
Aktau,81.9578476100559,19.433410791739917,72.07658680944581,7.285747562600885,12.108732517373527,1.4136035836347105,2,High
Karaganda,54.23383215588471,5.940630820014853,71.56729397938749,5.356373486325223,3.650179644981366,8.221459411982543,1,Medium
Petropavl,85.65389458263911,13.647707988588799,64.90348343587222,2.5478046449585507,37.20142901738384,13.775798353890645,2,High
Aktobe,107.96009343506077,11.673568094068806,82.15424082617804,1.8289437575839333,35.55004809749056,34.47869830785625,2,High
Semey,74.89218530182052,-2.040078468526552,36.398496762145314,2.7070005247783575,11.724973883704687,40.84162090390757,2,High
Semey,64.77372742975597,7.418544215103388,78.05017602195326,1.3609769543846006,37.468950836207796,11.247353453869247,2,High
Aktau,52.64936104660069,33.372002396705795,69.57876571464713,7.5614968271333085,45.892044154677656,33.982667321934905,3,Critical
Taldykorgan,69.29835250873508,1.1861115971723937,91.68600894356587,6.381546307739502,5.401447874578963,27.33990738607418,3,Critical
Kostanay,42.64349421820751,-3.9788318674230077,87.77555512268654,3.9679338268440554,11.631831919338747,14.673891479836483,1,Medium
Aktau,46.97785322418023,8.836127973077087,45.21176313060426,6.987219538364014,37.513039704365774,0.5472598518690841,3,Critical
Karaganda,63.82289756258088,25.565198113706664,42.098985998012246,2.3709365321992424,13.725333675353912,37.36142932173934,1,Medium
Aktau,7.994293486898036,16.196670340098752,98.53226590819582,5.8784042635414515,31.23319871418584,54.852139941215945,2,High
Semey,27.48304691097556,20.643867225721003,62.18121447322052,6.920993742603076,4.058211223185726,18.10218673150456,1,Medium
Kostanay,65.14191727360907,-1.4637318321395263,92.51367711315494,3.1757653371745445,22.610123955176935,10.544546391734348,2,High
Shymkent,51.783377176373115,17.852668685347467,33.11048190243858,6.180983340880383,36.95457109964765,70.96341955575694,3,Critical
Pavlodar,39.93789430949811,4.557517771016318,71.42551318401394,2.7130426194823203,34.325697152162626,22.001981799023824,2,High
Kyzylorda,87.66589641711617,27.543651467964537,84.7888149888469,2.741428514442731,40.75360503379034,17.889009583413184,2,High
Astana,83.24611288840062,18.31844627048313,95.79161996691575,1.3029288391563956,43.87260633015844,68.56775516879327,3,Critical
Atyrau,20.00769119920598,-1.0514675001116842,46.98721128136188,3.8004353488204905,38.65917506293791,65.3685679333409,2,High
Aktau,105.43549384481258,-7.092249407016124,77.9984935939242,5.972839298730666,33.579387146946296,35.867717641970685,3,Critical
Petropavl,59.45083516847588,-8.081505582083526,63.10504072316952,7.5516560417846375,1.5861245908015575,39.139108914221964,2,High
Oskemen,88.97530933668546,6.713385544256333,24.850314085317457,5.028477439468221,26.748333670472203,17.41989638672176,2,High
Aktobe,68.77810191088665,1.9633011494441064,75.19997898471547,6.973516533018043,1.8848862457426396,6.2641336383646,2,High
Pavlodar,119.7231139108612,19.074055555812862,75.20772465902748,6.668709869676703,40.40339085580113,45.87454602845288,3,Critical
Kyzylorda,90.28837440465873,12.470022574037824,94.44854438772296,1.8000728973146063,16.03622622299788,7.86759372721705,2,High
Kyzylorda,84.83765534921508,1.9708675102421331,59.78499569351779,4.143630716844736,28.121468705896046,35.94196375653198,2,High
Kyzylorda,93.42863268609013,-3.284299992242074,38.420073656841176,1.376926516440436,13.97226536594513,75.23977588104086,1,Medium
Kyzylorda,17.175358265816353,-4.276010679064768,23.565105875894332,5.616148711712262,39.12500721901468,76.22675113364676,2,High
Karaganda,24.545351180335594,28.909717646318796,53.25137493487246,7.62424751184557,44.325126332095124,19.14658292378869,2,High
Petropavl,85.6876898668337,0.9565085782190259,44.15333600620015,1.5281709355906736,19.9321247106532,49.929073603652355,2,High
Petropavl,59.27777845570352,19.326979155993573,80.88706448191004,6.00412348101906,43.14611967554945,37.92610112862861,3,Critical
Kostanay,90.55623502321399,26.480866759381982,48.34142118728373,5.241786131508957,13.35375037281662,70.05481020688848,2,High
Atyrau,12.349923689297402,17.633659003313124,95.92569570518751,4.877037777560748,26.73304615377619,21.71446914208426,1,Medium
Semey,64.37776217815137,28.68043542411256,96.98481623902273,3.425901760162544,42.9380714919352,0.2961925465933479,3,Critical
